trade_date,symbol,pre_close,open,high,low,close,total_vol,total_amt,upper_limit,lower_limit
2023-09-12,600519.SH,1822.17,1826.6,1826.98,1816.02,1819.96,1216801,2214514112.0,2004.39,1639.95
2023-09-11,600519.SH,1818.5,1808.0,1840.0,1808.0,1822.17,1592600,2902617736.0,2000.35,1636.65
2023-09-08,600519.SH,1838.0,1834.94,1834.94,1814.95,1818.5,1221178,2224338144.0,2021.8,1654.2
2023-09-07,600519.SH,1861.0,1852.6,1856.89,1831.19,1838.0,1698157,3128587116.0,2047.1,1674.9
2023-09-06,600519.SH,1858.7,1858.0,1866.66,1849.01,1861.0,1112143,2067605990.0,2044.57,1672.83
2023-09-05,600519.SH,1866.0,1868.0,1868.0,1856.8,1858.7,1565874,2915625961.0,2052.6,1679.4
2023-09-04,600519.SH,1851.05,1862.6,1879.94,1853.53,1866.0,2387100,4453823216.0,2036.16,1665.95
2023-09-01,600519.SH,1847.0,1852.83,1865.47,1846.03,1851.05,1314519,2438622738.0,2031.7,1662.3
2023-08-31,600519.SH,1856.0,1860.0,1860.0,1841.01,1847.0,1482022,2738445519.0,2041.6,1670.4
2023-08-30,600519.SH,1851.33,1867.9,1868.0,1843.66,1856.0,1981181,3672570260.0,2036.46,1666.2
2023-08-29,600519.SH,1834.97,1828.0,1869.08,1828.0,1851.33,2895028,5371260173.0,2018.47,1651.47
2023-08-28,600519.SH,1824.98,1898.58,1898.58,1831.88,1834.97,4105213,7633221012.0,2007.48,1642.48
2023-08-25,600519.SH,1816.3,1808.79,1837.77,1806.01,1824.98,1883086,3433296756.0,1997.93,1634.67
2023-08-24,600519.SH,1774.0,1779.62,1828.0,1775.0,1816.3,2605509,4703417600.0,1951.4,1596.6
2023-08-23,600519.SH,1788.0,1797.0,1800.0,1770.08,1774.0,1991222,3556178584.0,1966.8,1609.2
2023-08-22,600519.SH,1791.0,1800.99,1802.56,1771.02,1788.0,2665036,4763131152.0,1970.1,1611.9
2023-08-21,600519.SH,1802.59,1793.0,1813.99,1790.07,1791.0,1891181,3405415645.0,1982.85,1622.33
2023-08-18,600519.SH,1828.05,1831.99,1834.99,1802.59,1802.59,1702334,3084761577.0,2010.86,1645.25
2023-08-17,600519.SH,1820.0,1806.08,1834.0,1801.55,1828.05,1729037,3141408018.0,2002.0,1638.0
2023-08-16,600519.SH,1812.98,1807.58,1823.35,1806.0,1820.0,1318431,2396261791.0,1994.28,1631.68
2023-08-15,600519.SH,1803.0,1809.0,1818.0,1801.01,1812.98,1481799,2682125119.0,1983.3,1622.7
2023-08-14,600519.SH,1834.0,1810.0,1824.98,1796.0,1803.0,2373119,4285362053.0,2017.4,1650.6
2023-08-11,600519.SH,1875.0,1885.0,1885.4,1833.88,1834.0,2678649,4959166751.0,2062.5,1687.5
2023-08-10,600519.SH,1890.28,1882.0,1889.0,1862.3,1875.0,1843619,3454219140.0,2079.31,1701.25
2023-08-09,600519.SH,1890.0,1890.0,1905.0,1882.96,1890.28,1852346,3506306394.0,2079.0,1701.0
2023-08-08,600519.SH,1887.93,1880.03,1893.71,1864.08,1890.0,1773618,3333559505.0,2076.72,1699.14
2023-08-07,600519.SH,1893.47,1880.95,1898.0,1871.03,1887.93,2389245,4491893140.0,2082.82,1704.12
2023-08-04,600519.SH,1878.47,1887.82,1906.52,1882.0,1893.47,2457364,4655813751.0,2066.32,1690.62
2023-08-03,600519.SH,1880.0,1870.0,1890.0,1850.5,1878.47,2154347,4031087705.0,2068.0,1692.0
2023-08-02,600519.SH,1889.0,1883.4,1890.0,1866.8,1880.0,1850872,3478674239.0,2077.9,1700.1
2023-08-01,600519.SH,1880.58,1878.01,1906.95,1877.89,1889.0,1923062,3635857283.0,2068.64,1692.52
2023-07-31,600519.SH,1897.0,1908.0,1935.0,1874.0,1880.58,4537861,8615279839.0,2086.7,1707.3
2023-07-28,600519.SH,1838.03,1832.0,1900.0,1828.01,1897.0,3901792,7330314112.0,2021.83,1654.23
2023-07-27,600519.SH,1828.55,1836.0,1854.79,1828.7,1838.03,2034043,3749635290.0,2011.41,1645.7
2023-07-26,600519.SH,1828.55,1828.55,1835.99,1815.08,1828.55,1961145,3580171484.0,2011.41,1645.7
2023-07-25,600519.SH,1771.15,1800.0,1828.88,1799.99,1828.55,4308646,7837450019.0,1948.27,1594.04
2023-07-24,600519.SH,1771.3,1750.52,1771.15,1750.52,1771.15,1971337,3476648177.0,1948.43,1594.17
2023-07-21,600519.SH,1724.0,1731.88,1772.5,1726.0,1771.3,3937740,6931535726.0,1896.4,1551.6
2023-07-20,600519.SH,1723.0,1727.99,1748.98,1722.0,1724.0,1669265,2897176490.0,1895.3,1550.7
2023-07-19,600519.SH,1722.8,1715.01,1728.0,1713.8,1723.0,1248322,2147704435.0,1895.08,1550.52
2023-07-18,600519.SH,1729.97,1733.58,1734.51,1721.0,1722.8,1473765,2544005063.0,1902.97,1556.97
2023-07-17,600519.SH,1753.0,1751.0,1751.0,1726.6,1729.97,1433648,2482069846.0,1928.3,1577.7
2023-07-14,600519.SH,1738.4,1756.0,1758.5,1741.2,1753.0,1855030,3245530255.0,1912.24,1564.56
2023-07-13,600519.SH,1713.8,1721.99,1745.41,1719.01,1738.4,2580654,4479772500.0,1885.18,1542.42
2023-07-12,600519.SH,1710.0,1713.04,1723.0,1711.33,1713.8,1328467,2280785351.0,1881.0,1539.0
2023-07-11,600519.SH,1700.9,1710.0,1715.17,1702.1,1710.0,1258270,2151079270.0,1870.99,1530.81
2023-07-10,600519.SH,1690.03,1705.0,1714.96,1700.0,1700.9,1347741,2298241728.0,1859.03,1521.03
2023-07-07,600519.SH,1702.98,1701.0,1708.99,1690.0,1690.03,1516742,2571458553.0,1873.28,1532.68
2023-07-06,600519.SH,1715.38,1709.16,1733.0,1700.0,1702.98,1514062,2589459002.0,1886.92,1543.84
2023-07-05,600519.SH,1730.6,1730.0,1731.97,1700.0,1715.38,1474539,2523960725.0,1903.66,1557.54
2023-07-04,600519.SH,1724.1,1724.2,1734.44,1718.08,1730.6,1247238,2155553635.0,1896.51,1551.69
2023-07-03,600519.SH,1691.0,1699.0,1725.28,1692.0,1724.1,1913909,3286737792.0,1860.1,1521.9
2023-06-30,600519.SH,1687.8,1700.0,1708.99,1686.48,1691.0,2045869,3472586730.0,1856.58,1519.02
2023-06-29,600519.SH,1728.38,1731.0,1734.99,1713.01,1713.71,1423116,2446524134.0,1901.22,1555.54
2023-06-28,600519.SH,1711.05,1713.18,1734.0,1711.0,1728.38,1857356,3199294221.0,1882.16,1539.95
2023-06-27,600519.SH,1709.0,1709.99,1719.7,1700.09,1711.05,1517446,2598138744.0,1879.9,1538.1
2023-06-26,600519.SH,1735.83,1720.11,1730.0,1695.0,1709.0,2399268,4098619510.0,1909.41,1562.25
2023-06-21,600519.SH,1743.46,1740.0,1756.6,1735.0,1735.83,1772061,3088635934.0,1917.81,1569.11
2023-06-20,600519.SH,1744.0,1740.0,1765.0,1735.0,1743.46,2094674,3659824529.0,1918.4,1569.6
2023-06-19,600519.SH,1797.69,1790.0,1797.95,1738.0,1744.0,3169992,5584248725.0,1977.46,1617.92
2023-06-16,600519.SH,1755.0,1757.0,1800.0,1750.1,1797.69,3791789,6742301361.0,1930.5,1579.5
2023-06-15,600519.SH,1726.88,1730.34,1755.65,1723.0,1755.0,2522257,4395900802.0,1899.57,1554.19
2023-06-14,600519.SH,1699.0,1719.0,1734.24,1706.21,1726.88,3150580,5438040356.0,1868.9,1529.1
2023-06-13,600519.SH,1696.0,1693.88,1704.61,1685.0,1699.0,1466254,2485398902.0,1865.6,1526.4
2023-06-12,600519.SH,1666.0,1666.02,1708.0,1661.52,1696.0,2702944,4562308599.0,1832.6,1499.4
2023-06-09,600519.SH,1668.0,1671.99,1677.97,1666.0,1666.0,1758041,2938014322.0,1834.8,1501.2
2023-06-08,600519.SH,1650.9,1655.83,1675.0,1650.01,1668.0,1470272,2441569677.0,1815.99,1485.81
2023-06-07,600519.SH,1666.99,1672.99,1678.8,1650.0,1650.9,1788964,2971782064.0,1833.69,1500.29
2023-06-06,600519.SH,1665.0,1670.0,1684.0,1651.55,1666.99,1991392,3326778183.0,1831.5,1498.5
